usuario,departamento,status_contrato
user001,Marketing,Ativo
user002,Financeiro,Bloqueado
user003,RH,Bloqueado
user004,Financeiro,Bloqueado
user005,Logística,Ativo
user006,Logística,Inativo
user007,TI,Bloqueado
user008,Comercial,Inativo
user009,Marketing,Ativo
user010,Comercial,Inativo
user011,Comercial,Inativo
user012,Financeiro,Ativo
user013,RH,Ativo
user014,Logística,Inativo
user015,Logística,Bloqueado
user016,Marketing,Ativo
user017,Logística,Inativo
user018,Financeiro,Inativo
user019,Logística,Bloqueado
user020,RH,Bloqueado
user021,Marketing,Inativo
user022,Administrativo,Ativo
user023,TI,Inativo
user024,Administrativo,Bloqueado
user025,Administrativo,Bloqueado
user026,Operações,Inativo
user027,Logística,Inativo
user028,RH,Ativo
user029,Administrativo,Bloqueado
user030,TI,Ativo
user031,Administrativo,Ativo
user032,Administrativo,Bloqueado
user033,Logística,Ativo
user034,Marketing,Bloqueado
user035,Financeiro,Bloqueado
user036,Operações,Bloqueado
user037,Comercial,Bloqueado
user038,Marketing,Ativo
user039,Operações,Inativo
user040,RH,Ativo
user041,Logística,Inativo
user042,Operações,Inativo
user043,Financeiro,Ativo
user044,Logística,Ativo
user045,Logística,Bloqueado
user046,Comercial,Bloqueado
user047,RH,Inativo
user048,Financeiro,Inativo
user049,Logística,Inativo
user050,Logística,Bloqueado
user051,Financeiro,Ativo
user052,RH,Bloqueado
user053,TI,Inativo
user054,Operações,Bloqueado
user055,Financeiro,Ativo
user056,Administrativo,Ativo
user057,Comercial,Ativo
user058,Financeiro,Ativo
user059,TI,Bloqueado
user060,RH,Ativo
user061,Financeiro,Ativo
user062,Comercial,Ativo
user063,Comercial,Bloqueado
user064,Operações,Ativo
user065,Comercial,Bloqueado
user066,Financeiro,Inativo
user067,Logística,Bloqueado
user068,Administrativo,Inativo
user069,Operações,Bloqueado
user070,Comercial,Ativo
user071,Operações,Inativo
user072,Financeiro,Bloqueado
user073,Comercial,Inativo
user074,Marketing,Inativo
user075,Administrativo,Bloqueado
user076,Logística,Bloqueado
user077,Comercial,Bloqueado
user078,Financeiro,Ativo
user079,TI,Ativo
user080,Marketing,Inativo
user081,Comercial,Bloqueado
user082,Comercial,Ativo
user083,Operações,Bloqueado
user084,TI,Bloqueado
user085,TI,Bloqueado
user086,Operações,Inativo
user087,RH,Ativo
user088,TI,Ativo
user089,TI,Bloqueado
user090,Marketing,Inativo
user091,Logística,Bloqueado
user092,Operações,Bloqueado
user093,Financeiro,Bloqueado
user094,Comercial,Bloqueado
user095,Logística,Inativo
user096,Marketing,Ativo
user097,Logística,Bloqueado
user098,RH,Bloqueado
user099,Logística,Bloqueado
user100,Administrativo,Bloqueado
user101,RH,Ativo
user102,Financeiro,Inativo
user103,TI,Inativo
user104,Comercial,Ativo
user105,Operações,Inativo
user106,Marketing,Inativo
user107,TI,Ativo
user108,Comercial,Ativo
user109,Administrativo,Bloqueado
user110,Marketing,Inativo
user111,TI,Ativo
user112,Administrativo,Inativo
user113,TI,Ativo
user114,Administrativo,Inativo
user115,TI,Bloqueado
user116,TI,Ativo
user117,RH,Ativo
user118,Administrativo,Ativo
user119,Comercial,Bloqueado
user120,RH,Bloqueado
user121,Marketing,Ativo
user122,Marketing,Inativo
user123,Comercial,Bloqueado
user124,Financeiro,Ativo
user125,Marketing,Inativo
user126,Logística,Ativo
user127,Operações,Inativo
user128,Comercial,Ativo
user129,Logística,Inativo
user130,RH,Ativo
user131,Comercial,Ativo
user132,RH,Ativo
user133,Logística,Bloqueado
user134,TI,Inativo
user135,Marketing,Ativo
user136,RH,Bloqueado
user137,Logística,Ativo
user138,Administrativo,Inativo
user139,RH,Bloqueado
user140,TI,Bloqueado
user141,Operações,Ativo
user142,TI,Ativo
user143,Marketing,Ativo
user144,Marketing,Ativo
user145,RH,Inativo
user146,TI,Bloqueado
user147,Operações,Inativo
user148,Financeiro,Bloqueado
user149,Administrativo,Inativo
user150,Logística,Bloqueado
user151,Operações,Ativo
user152,Comercial,Ativo
user153,Marketing,Bloqueado
user154,TI,Inativo
user155,Operações,Inativo
user156,Financeiro,Ativo
user157,RH,Ativo
user158,Financeiro,Bloqueado
user159,Operações,Inativo
user160,Financeiro,Ativo
user161,TI,Inativo
user162,Logística,Inativo
user163,TI,Inativo
user164,TI,Inativo
user165,Marketing,Ativo
user166,Operações,Ativo
user167,RH,Bloqueado
user168,Operações,Ativo
user169,Administrativo,Inativo
user170,Operações,Ativo
user171,Logística,Bloqueado
user172,Marketing,Inativo
user173,Marketing,Inativo
user174,Financeiro,Ativo
user175,Logística,Inativo
user176,Operações,Ativo
user177,Administrativo,Bloqueado
user178,TI,Inativo
user179,TI,Bloqueado
user180,Operações,Ativo
user181,TI,Bloqueado
user182,Operações,Ativo
user183,Financeiro,Ativo
user184,Marketing,Bloqueado
user185,Comercial,Inativo
user186,Logística,Bloqueado
user187,Marketing,Bloqueado
user188,Comercial,Bloqueado
user189,RH,Ativo
user190,Logística,Inativo
user191,Marketing,Inativo
user192,Operações,Ativo
user193,Comercial,Bloqueado
user194,TI,Bloqueado
user195,Comercial,Ativo
user196,Marketing,Ativo
user197,RH,Inativo
user198,Logística,Bloqueado
user199,Comercial,Inativo
user200,TI,Bloqueado
